Country,Invalid,Provoked,Questionable,Sea disaster,Unprovoked,Watercraft,Total
Usa,195,238,7,35,2011,83,2569
Australia,120,144,6,24,1098,128,1520
South africa,65,58,0,5,415,55,598
New zealand,13,21,0,0,95,17,146
Bahamas,5,18,2,5,109,1,140
Papua new guinea,2,13,0,6,112,3,136
Brazil,10,6,0,5,102,0,123
Mexico,11,12,4,3,74,3,107
Italy,12,13,0,4,27,16,72
Fiji,1,3,1,3,61,1,70
New caledonia,1,2,0,3,60,1,67
Philippines,4,2,1,26,32,0,65
Reunion,0,0,0,0,57,3,60
Egypt,3,0,1,2,46,0,52
Mozambique,4,0,0,2,42,2,50
Cuba,3,6,0,7,32,1,49
Spain,10,5,0,0,31,1,47
India,1,1,0,1,37,1,41
French polynesia,1,6,0,0,33,0,40
Japan,5,2,0,2,24,2,35
Croatia,7,3,0,0,22,3,35
Jamaica,3,2,0,1,26,0,32
Panama,1,4,0,0,27,0,32
Solomon islands,0,1,0,8,21,0,30
Iran,0,1,0,0,28,0,29
England,2,9,0,0,13,1,25
Indonesia,1,0,1,5,18,0,25
Hong kong,0,0,0,1,23,0,24
Greece,5,0,0,2,17,0,24
Pacific ocean,1,4,0,10,4,0,19
Tonga,2,2,0,2,12,0,18
Costa rica,2,1,0,0,15,0,18
Atlantic ocean,2,1,0,5,5,4,17
Bermuda,3,2,0,3,7,1,16
Vanuatu,0,1,0,0,13,1,15
Vietnam,0,1,0,1,12,0,14
Sri lanka,2,0,0,1,11,0,14
Canada,1,2,0,2,6,3,14
Thailand,0,2,0,0,11,0,13
Marshall islands,2,0,0,0,11,0,13
France,2,3,0,0,7,1,13
Turkey,1,1,0,0,4,6,12
Iraq,0,0,0,0,12,0,12
South atlantic ocean,0,0,0,8,4,0,12
Venezuela,0,0,0,0,11,0,11
Columbia,0,0,0,1,10,0,11
Ecuador,0,0,0,0,11,0,11
Senegal,2,2,0,1,6,0,11
United kingdom,1,7,0,0,1,2,11
Kenya,0,0,0,0,10,0,10
New guinea,0,1,0,0,9,0,10
Mauritius,0,2,0,1,7,0,10
Samoa,0,1,0,1,7,1,10
Seychelles,1,0,0,0,9,0,10
Israel,1,1,0,0,6,1,9
Yemen,1,0,0,1,7,0,9
Taiwan,0,2,0,1,6,0,9
China,0,3,0,1,5,0,9
Sierra leone,0,0,0,2,7,0,9
Chile,0,1,0,0,7,0,8
Tanzania,1,1,0,0,6,0,8
Madagascar,1,1,0,0,6,0,8
Caribbean sea,1,0,0,3,2,2,8
Scotland,0,2,0,0,3,3,8
Belize,1,2,0,0,5,0,8
South korea,0,0,0,0,8,0,8
North pacific ocean,1,1,0,3,2,0,7
Indian ocean,2,0,0,3,2,0,7
Dominican republic,0,1,0,2,4,0,7
Nicaragua,0,1,0,0,6,0,7
Somalia,1,1,0,0,4,0,6
Singapore,0,0,0,0,6,0,6
New britain,0,0,0,0,6,0,6
Honduras,1,0,0,1,4,0,6
Barbados,0,0,0,1,5,0,6
Maldives,0,1,0,0,5,0,6
Kiribati,0,0,0,2,4,0,6
Okinawa,0,0,0,1,5,0,6
Libya,0,0,0,1,5,0,6
Saudi arabia,1,0,0,0,4,0,5
Reunion island,0,0,2,0,3,0,5
North atlantic ocean,1,2,0,0,1,1,5
Turks & caicos,0,0,0,1,4,0,5
Azores,1,2,0,0,0,2,5
Malaysia,1,1,0,0,3,0,5
Palau,0,1,0,0,4,0,5
Mid atlantic ocean,0,0,0,3,2,0,5
Malta,0,0,0,0,3,2,5
Uruguay,0,0,0,0,4,0,4
Persian gulf,0,0,0,1,3,0,4
Guam,1,1,0,0,2,0,4
Grenada,0,0,0,0,4,0,4
Burma,0,1,0,0,3,0,4
El salvador,0,1,0,0,2,1,4
Sudan,0,1,0,1,2,0,4
Russia,0,0,0,0,4,0,4
Portugal,1,1,0,0,0,2,4
Nigeria,0,0,0,0,4,0,4
Montenegro,1,0,0,0,1,1,3
Tunisia,0,0,0,0,3,0,3
Turks and caicos,0,0,0,0,3,0,3
Haiti,1,0,0,0,2,0,3
Cape verde,2,0,0,0,1,0,3
American samoa,0,0,0,0,3,0,3
Guyana,1,0,0,1,1,0,3
Guinea,1,0,0,0,2,0,3
Lebanon,0,0,0,0,3,0,3
Tobago,0,0,0,0,3,0,3
Trinidad & tobago,1,1,0,0,1,0,3
Micronesia,0,0,0,0,3,0,3
Martinique,0,0,0,1,2,0,3
Liberia,1,0,0,0,2,0,3
Maldive islands,0,0,0,1,2,0,3
West indies,0,0,0,0,2,0,2
Southwest pacific ocean,0,0,0,2,0,0,2
United arab emirates (uae),1,0,0,0,1,0,2
United arab emirates,0,0,0,0,1,1,2
"St helena, british overseas territory",0,0,0,0,2,0,2
South pacific ocean,0,0,0,1,1,0,2
Java,0,0,0,1,1,0,2
Mediterranean sea,0,0,0,0,2,0,2
